Job Title,Company Name,Salary,Location,Job Description,Skills,job_link
Order To Cash Operations New Associate,Accenture,Not disclosed,Bengaluru,Graduates in CommerceSkill required: Order to Cash - Collections Processing.,"back office operations, order to cash, ms office tools, client relationship, cash operations, operations management, customer service, cash management",https://www.naukri.com/job-listings-order-to-cash-operations-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-270424906869
Procure To Pay Operations New Associate,Accenture,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shifts Qualification B...,"accounts payable, procurement operations, invoice processing, procure to pay, procurement, strategic sourcing, purchase, purchase order",https://www.naukri.com/job-listings-procure-to-pay-operations-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-270424906839
Order To Cash Operations New Associate,Accenture,Not disclosed,Bengaluru,Commerce GraduatesSkill required: Order to Cash - Billing Processing. Willing to share ...,"bill processing, order to cash, billing, email writing, ms office tools, vendor management, accounts receivable, operations management",https://www.naukri.com/job-listings-order-to-cash-operations-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-270424906705
Application Tech Support Practitioner,Accenture,Not disclosed,Bengaluru,Minimum 0-2 year(s) of experience is required. Educational Qualification : Bachelors de...,"customer service, service desk management, service desk, incident management, ms office suite, presentation skills, it service desk, problem management",https://www.naukri.com/job-listings-application-tech-support-practitioner-accenture-solutions-pvt-ltd-bengaluru-0-to-2-years-270424906653
Application Tech Support Practitioner,Accenture,Not disclosed,Bengaluru,Project Role :Application Tech Support PractitionerProject Role Description :Act as the...,"information technology, technology operations, service desk management, service desk, voice support, project management, itil framework, customer service",https://www.naukri.com/job-listings-application-tech-support-practitioner-accenture-solutions-pvt-ltd-bengaluru-0-to-2-years-270424906642
Procure To Pay Operations New Associate - Procure To Pay Processing,Accenture,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shiftsQualifications:A...,"accounts payable, procurement operations, invoice processing, procure to pay, procurement, strategic sourcing, purchase, purchase order",https://www.naukri.com/job-listings-procure-to-pay-operations-new-associate-procure-to-pay-processing-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-270424906620
Application Tech Support Practitioner,Accenture,Not disclosed,Bengaluru,Project Role :Application Tech Support PractitionerProject Role Description :Act as the...,"information technology, technology operations, service desk management, service desk, voice support, project management, python, customer service",https://www.naukri.com/job-listings-application-tech-support-practitioner-accenture-solutions-pvt-ltd-bengaluru-0-to-2-years-270424906615
Order To Cash Operations New Associate,Accenture,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shifts Qualification B...,"bill processing, order management, order to cash, reconciliation, debit note, order processing, accounts receivable, journal entries",https://www.naukri.com/job-listings-order-to-cash-operations-new-associate-accenture-solutions-pvt-ltd-bengaluru-0-to-1-years-270424903378
Guest Service Associate-Housekeeping,Marriott,Not disclosed,Bengaluru,"Stand, sit, kneel, or walk for an extended period across an entire work shiftSupervisor...","Housekeeping, servie, , Hospitality, Inspetion, Safety training, Management, Guest Servie Assoiate",https://www.naukri.com/job-listings-guest-service-associate-housekeeping-marriott-bengaluru-0-to-2-years-270424501025
Process Associate - Opportunity To Cash,Siemens,Not disclosed,Bengaluru,"As a Customer Calling and Lead Qualification Specialist, you will be responsible fo...","Business services, Process optimization, Sales, Income tax, Customer calling, Customer service, Sales process, Continuous improvement",https://www.naukri.com/job-listings-process-associate-opportunity-to-cash-siemens-limited-bengaluru-0-to-3-years-270424500889
